Person Name mentioned in the news,Organization Name mentioned in the news,City/ State mentioned under the news,Created_date_time,Key word Used for identify the article,HDFC Bank Name under News / Article,Web link of news
"Pentagon, Legislative Council, BJP, CBI, Congress, HC, Express News Service, the Punjab and Haryana High Court, the Haryana Police, The Indian Express, IndianExpress, the Mazdoor Adhikar Sangathan, Centre, State, PS Kundli, Indian Express App, The Indian Express (P) Ltd, EC, Xiaomi, Twitter, FBI, ICC, Bamboo Training and Research Institute, CID, FATF,","Bangla, Hindi, India, US, Syria, J&K, TN, Puducherry, Punjab, Chandigarh, Sonipat, Singhu, Kundli, Haryana, Bengal, Kerala, Assam, Chennai Hyderabad, Bharat Bandh Today, Maharashtra, Mumbai, Pune, Motera, Pak, Bombay, Rajasthan, Sattur, Tamil Nadu,",nan,2021-02-26 19:49:45.083237,"terror, terror financing, ",No,https://indianexpress.com/article/india/nodeep-kaur-granted-bail-by-punjab-haryana-high-court-7205542/
"NDTV, Agra News, Ahmedabad News, Allahabad News, Delhi News, Ghaziabad News, Hyderabad News, Jammu News, Lucknow News, Meerut News, Mumbai News, Noida News, Surat News, Punjab National Bank, PNB, the Brihanmumbai Municipal Corporation, BMC, Delhi Jal Board, the India Meteorological Department, IMD, the Punjab State Power Corporation Limited, PSPCL, BJP, AAP,","INDIA, Amritsar, Aurangabad, Bengaluru, Bhopal, Bhubaneshwar, Chandigarh, Chennai, Gurgaon News, Guwahati, Jaipur, Kanpur, Kolkata, Ludhiana, Muzaffarnagar, Nagpur, Patna News, Srinagar, Delhi, New Delhi, Uttar Pradesh's, Mumbai, UK, India, Covid, Maharashtra, Punjab, China, England,",nan,2021-02-26 20:16:47.266931,"money launder, ",No,https://www.ndtv.com/cities?pfrom=home-ndtv_mainnavgation
"JFC, Jamshedpur FC, Indian Super League, ED, The Enforcement Directorate, Indian Wire & Steel Product, Indian Wire & Steel Products, IS&WP, Telco, the National Health Mission (, NHM, BSNL, Bharat Sanchar Nigam Limited, The Telegraph, The Telegraph India, ABP Group,","India, West Bengal, Calcutta, Jharkhand, Ranchi, Jamshdepur, Dhanbad, Jamshedpur, New Delhi, Kadma,",nan,2021-02-26 20:21:46.989244,"money launder, ",No,https://www.telegraphindia.com/jharkhand
"Quetta Gladiators Dream11, ICC, RBI, SSC, YouTube, Moscow Pact, Madras High Court, SBI, Flipkart, Govt, BMW, Bharat Biotech, NASA, Twitter, Facebook, Raw Mango's, BMC, the Brihanmumbai Municipal Corporation, WhatsApp, The Brihanmumbai Municipal Corporation, IMD, Zee News, Hindi News, Diligent Media Corporation Ltd.,","Karnataka, India, Tamil Nadu, Odisha, Malkangiri, Delhi, Jalgaon, Mumbai, Maharashtra, Ethiopia, Tigray, Brazil, US, Sri Lanka, Nepal, Uttar Pradesh, Andheri, Ville Parle, Santacruz, Khar, Bandra, BKC, Dharavi, Pune, Nashik, Bengali,",nan,2021-02-26 20:27:38.630485,"terror, ",No,https://www.dnaindia.com/mumbai
"Nokia, ET Markets, ET India Inc., The Economic Times Digital Payments Forum, RBI, Huawei, NHAI, Volkswagen, GameStop, Indira Trading Company, DLF, ICICI Bank, Gammon Infra, Fed, Sundaram AMC, Principal Asset Management, NSE, PFC, Govt, BEML, RailTel, Barclays, JSPL, CDC Group Plc, Equitas Holdings, DHFL, NCLT, Airtel, LMIL, Bharti Telemedia, Reserve Bank of India, Treasury, Standard Chartered, HDFC Mutual fund, Just Dial, Yes Bank, Shriram Transport Finance Company Ltd., REC Ltd., IRCTC, LIC Housing Finance Ltd., GAIL (India) Ltd., BHEL, DLF Ltd., Power Finance Corporation Ltd., Federal Bank Ltd., Petronet LNG Ltd., ICICI Prudential Life Insurance Company Ltd., Info Edge (India) Ltd., ITC, ICICI Lombard General Insurance Company Ltd., InterGlobe Aviation Ltd., Indus Towers Ltd., Bosch Ltd., Punjab National Bank, Bharat Forge Ltd., Marico Ltd., Tata Power Company Ltd., Crompton Greaves Consumer Electricals Ltd., SBI, Berger Paints (India) Ltd., Motherson Sumi Systems Ltd., BSE, Voltas Ltd., Zee Entertainment Enterprises Ltd., Bajaj Holdings & Investment Ltd., Avenue Supermarts Ltd., Page Industries Ltd., Jubilant Foodworks Ltd., Piramal Enterprises Ltd., Pidilite Industries Ltd., Hindustan Petroleum Corporation Ltd., Shree Cements Ltd., Biocon Ltd., Indian Oil Corporation Ltd., Ambuja Cements Ltd., Torrent Pharmaceuticals Ltd., Siemens Ltd., Aurobindo Pharma Ltd., Indraprastha Gas Ltd., Colgate-Palmolive (India) Ltd., Havells India Ltd., ACC Ltd., Container Corporation of India Ltd., Apollo Hospitals Enterprise Ltd., Vedanta Ltd., Mahindra Lifespace, Hatsun Agro, HCL Tech, Sanofi India, ICICI Direct, Motilal Oswal, SKF India, Tata Consumer Products, HDFC Bank, Tata Motors, Apollo Tyres, ICICI Securities, Tata Steel, NMDC, TeamLease Services, ABB Power Products and Systems, Hindalco, Vedanta Resources, IIFL Finance, Kaveri Seeds, USTR, Global Student Survey, FASTag, Finance Ministry, MPC, IFSC, NHRC, Defence Ministry, NIA, Qaeda, BJP, Congress, AAP, Supreme Court, Bodoland People's Front, TMC, WTO, West Bengal Assembly, Assam Assembly, Foxconn, MHA, CPI, Gujarat Assembly, CBI, ED, Amazon India, DMK, National Medical Commission, Election Commission, FCRA, Dredging Corporation, upGrad, Army, Executive Steering Group, CRPF, IAF, LAC, UN, ByteDance, Hyundai, White House, ICC Board, BCCI, EOI, ET TV, RaiTel, DGCA, Sundaram Mutual, MF News, ETtech, ETtech Morning Dispatch, Nasscom, FB, Oversight Board, Telegram, Google, Twitter, TikTok, Paytm, Ola, IndusInd Bank, NUE, FundVice, InnoServ Group, 5F World, Maruti Suzuki, IIM Bangalore, Uber, Innovaccer, Zomato, Rakuten, Hero Future Energies, UNEP NY Office, Probus Insurance, WFH, BMW, Puma, PNG & Sons, Bitbns, UPI, Ramco Systems, Wipro, Citibank, PSU, Max Hospital, Xiaomi, Infosys, Sensex Live, Health News, IT News, IT Security News, AdAge India, Times of India, Bombay Times, ET Prime, Times Internet Limited, Bennett, Coleman & Co. Ltd., Times Syndication Service,","India, China, Punjab, Haryana, Kerala, Noida, Sebi, U.S., US, Madhya Pradesh, Bihar, J&K, Bengal, Bhutan, UTs, Pakistan, Qatar, Karnal, Assam, Balurghat, Bombay, West Bengal, Jaipur, UAE, Bangladesh, Tamil Nadu, Puducherry, Karnataka, Uttarakhand, SC, Tripura, Iran, Chabahar, TN, Surat, Gujarat, Himachal Pradesh, Mumbai, Tandav, Allahabad, Kolkata, Ambani, Delhi, Afghanistan, Pulwama, Balochistan, Balakot, Turkey, Moscow, Syria, Britain, Taiwan, Japan, Texas, New York, Bangalore, Colombia, New Delhi,",nan,2021-02-26 20:33:34.285480,"terror, ",YES,https://economictimes.indiatimes.com/headlines.cms
"Pentagon, Legislative Council, BJP, CBI, Congress, Telangana Bar Council, Bar Council of India, Hyderabad News, Telangana Legislative Council, TRS partyâs, CPI, the High Court, Telangana High Court Advocates Association, the High Court Advocatesâ Association, Peddapalli Zilla Parishad, the State Human Rights Commission,","Bangla, Hindi, India, US, Syria, J&K, TN, Puducherry, Hyderabad, Telangana, Nagamani, Peddapalli, Ramagundam, Manthani, Kalvacherla,",nan,2021-02-26 20:37:08.171051,"terror, ",No,https://indianexpress.com/article/cities/hyderabad/after-lawyer-couples-murder-protests-across-telangana-courts-and-demands-for-protection-for-advocates-7196767/
"Pentagon, Legislative Council, BJP, CBI, Congress, Dal Khalsa, The Indian Express, Delhi Morcha, Punjab University, SKM, NIA, Aam Aadmi Party, AAP, Indian Express App, The Indian Express (P) Ltd, Manchester City, Centre, Xiaomi, Twitter, NEP, ICC, Bamboo Training and Research Institute, CID, FATF, DSGMC,","Bangla, Hindi, India, US, Syria, J&K, TN, Puducherry, Mehraj, Shambu, Punjab, Delhi, Kerala, China, Ladakh, Maharashtra, Mumbai, Pune, Motera, Pak, Bombay, Rajasthan, Sattur, Tamil Nadu,",nan,2021-02-26 20:39:07.498800,"terror, terror financing, ",No,https://indianexpress.com/article/explained/farmers-protest-rallies-youth-participation-explained-7203740/
"Pentagon, Legislative Council, BJP, CBI, Congress, BCCI TV, The Indian Express, Indian Express App, ICC, Bamboo Training and Research Institute, CID, FATF, Centre, Manchester City,","Bangla, Hindi, India, US, Syria, J&K, TN, Puducherry, England, Adelaide, Leeds, Auckland, Bridgetown, Ireland, Australia, Nottingham, Hobart, South Africa, Sri Lanka, New Zealand, Bangladesh, Ahmedabad, Motera, Maharashtra, Mumbai, Pune, Pak, Bombay, Rajasthan, Kerala, Sattur, Tamil Nadu,",nan,2021-02-26 20:39:33.972049,"terror, terror financing, ",No,https://indianexpress.com/article/sports/cricket/undercooked-batsmen-on-undercooked-pitch-a-recipe-for-disaster-7204938/
"NDTV, the Supreme Court,","INDIA, India,",nan,2021-02-26 20:46:35.042706,"terror, ",No,https://www.ndtv.com/blog/avni-the-tigress-was-shot-dead-supreme-court-says-rules-were-followed-2379254?pfrom=home-ndtv_opinion
"non-BJP, Trinamul Congress, Shiv Sena, DMK, CPM, Shorbonashi shorkar (, Motera, the Trinamul Congress, The Telegraph, The Telegraph India, ABP Group,","India, West Bengal, Calcutta, Nabanna, Maharashtra, Tamil Nadu, Kerala, Rajasthan, Delhi, Kolkata,",nan,2021-02-26 20:47:54.696138,"terror, ",No,https://www.telegraphindia.com/west-bengal/mamata-banerjee-rides-electric-scooter-to-protest-against-rising-fuel-prices/cid/1807853
"ED, Maa Gange Coal Trading Pvt. Ltd., The Enforcement Directorate, the National Investigation Agency, NIA, Tritiya Prastuti Committee, TPC, The Telegraph, The Telegraph India, ABP Group,","India, West Bengal, Calcutta, New Delhi, Jharkhand, Magadh-Amrapali, Chatra,",nan,2021-02-26 20:49:14.234708,"money launder, ",No,https://www.telegraphindia.com/jharkhand/ed-attaches-assets-worth-over-rs-2-crore-of-maoist-operative-in-money-laundering-case/cid/1807911
"Union, National Democratic Front of Bodoland, NDFB, the Joint Action Committee for Autonomous State, JACAS, the Karbi Longri N.C. Hills Liberation Front, KLNLF, Karbi Peopleâs Liberation Tiger, KPLT, United Peopleâs Liberation Army, UPLA, the Peopleâs Democratic Council of Karbi Longri, PDCK, Karbi Anglong Aurtonomous Council, Centre, BJP, National Democratic Front Of Bodoland, The Telegraph, The Telegraph India, ABP Group,","India, West Bengal, Calcutta, Karbi, Dengaon, Assam, Guwahati, Karbi Anglong, Diphu, Dima Hasao, West Karbi Anglong, Batadrava Than, Nagaon, the Batadrava Than,",nan,2021-02-26 20:49:52.128536,"terror, ",No,https://www.telegraphindia.com/north-east/assam-karbi-militant-outfits-members-surrender/cid/1807615
"SBI, Mirae Asset Emerging Bluechip Fund, ICICI, Nokia, ET Markets, ET India Inc., The Economic Times Digital Payments Forum, Lok Sabha, ET TV, IMF, BJP, Ministry of Finance, Delhi News, Mumbai News, Bangalore News, Ministry of Corporate Affairs, RailTel, Airtel, Sensex Live, IRCTC, Infosys, Health News, IT News, IT Security News, AdAge India, Times of India, Bombay Times, ET Prime, Times Internet Limited, Bennett, Coleman & Co. Ltd., Times Syndication Service,","India, UAE, Saudi Arabia, US, Bihar, Delhi, USSR, Kolkata, Pakistan, Bangalore, Colombia, New Delhi,",nan,2021-02-26 21:01:07.226538,"terror, ",No,https://economictimes.indiatimes.com/news/economy/policy/budget-marks-directional-change-for-indian-economy-nirmala-sitharaman/articleshow/81210236.cms
"Pentagon, Legislative Council, BJP, CBI, Congress, the India Army, Arre Studios, Ali Express, TikTok, PLA, The Indian Express, Indian Express App, Bengal Assembly, Xiaomi, Twitter, ICC, Bamboo Training and Research Institute, CID, FATF, Centre,","Bangla, Hindi, India, US, Syria, J&K, TN, Puducherry, New Delhi, Doklam, Pangong Lake, China, Anupamaa, Imlie, Maharashtra, Mumbai, Pune, Motera, Pak, Bombay, Rajasthan, Kerala, Sattur, Tamil Nadu,",nan,2021-02-26 21:01:56.078848,"terror, terror financing, ",No,https://indianexpress.com/article/entertainment/web-series/1962-a-war-in-the-hills-review-we-suffered-through-this-hotstar-special-so-you-dont-have-to-7205843/
"Pentagon, Legislative Council, BJP, CBI, Congress, The Crown, Entertainment Desk, Netflix, The Indian Express, Indian Express App, IE Online Media Services Pvt Ltd, Bengal Assembly, Xiaomi, Twitter, ICC, Bamboo Training and Research Institute, CID, FATF, Centre,","Bangla, Hindi, India, US, Syria, J&K, TN, Puducherry, New Delhi, Los Angeles, the United States, UK, Anupamaa, Imlie, Maharashtra, Mumbai, Pune, Motera, Pak, Bombay, Rajasthan, Kerala, Sattur, Tamil Nadu,",nan,2021-02-26 21:02:55.043729,"terror, terror financing, ",No,https://indianexpress.com/article/entertainment/television/prince-harry-on-the-crown-its-fictional-but-its-loosely-based-on-the-truth-7206144/
"Pentagon, Legislative Council, BJP, CBI, Congress, T-Series, White Feather Films, The Indian Express, Indian Express App, IE Online Media Services Pvt Ltd, Bengal Assembly, Xiaomi, Twitter, ICC, Bamboo Training and Research Institute, CID, FATF, Centre,","Bangla, Hindi, India, US, Syria, J&K, TN, Puducherry, Mumbai, New Delhi, Bombay, Anupamaa, Imlie, Maharashtra, Pune, Motera, Pak, Rajasthan, Kerala, Sattur, Tamil Nadu, Kamathipura,",nan,2021-02-26 21:03:21.460993,"terror, terror financing, ",No,https://indianexpress.com/article/entertainment/bollywood/mumbai-saga-trailer-john-abraham-emraan-hashmi-7205685/
"Pentagon, Legislative Council, BJP, CBI, Congress, Netflix, Indian Express, Condor, Centineo, Stanford, NYU, The Indian Express, Indian Express App, IE Online Media Services Pvt Ltd, Bengal Assembly, Xiaomi, Twitter, ICC, Bamboo Training and Research Institute, CID, FATF, Centre, the Indian Expr,","Bangla, Hindi, India, US, Syria, J&K, TN, Puducherry, New York, Anupamaa, Imlie, Maharashtra, Mumbai, Pune, Motera, Pak, Bombay, Rajasthan, Kerala, Sattur, Tamil Nadu,",nan,2021-02-26 21:04:37.440436,"terror, terror financing, ",No,https://indianexpress.com/article/entertainment/movie-review/to-all-the-boys-always-and-forever-movie-review-a-low-fi-rom-com-7185733/
"Pentagon, Legislative Council, BJP, CBI, Congress, Adelaide International, the Adelaide International, Australian Open, Grand Slam, PCB, Pakistan Cricket Board, BCCI, ICC, Bamboo Training and Research Institute, CID, FATF, Centre, FIFA, PSU, UPSC, CSK, KKR, CBSE, Bangalore News, Express Group, The Indian Express, The Financial Express, MyInsuranceClub, DNPA, The Indian Express [,","Bangla, Hindi, India, US, Syria, J&K, TN, Puducherry, Australia, Tsitsipas, Melbourne, Motera, Maharashtra, Mumbai, Pune, Pak, Bombay, Rajasthan, Kerala, Sattur, Tamil Nadu, Arunachal Pradesh, Manipur, Bangalore, Delhi, West Bengal, Loksatta,",nan,2021-02-26 21:05:16.741770,"terror, terror financing, ",No,https://indianexpress.com/section/sports/tennis/
"Pentagon, Legislative Council, BJP, CBI, Congress, WWE, Raw, NXT, SmackDown, WWE SmackDown, WWE Raw, Royal Rumble Universal, AEW, WWE RAW, ICC, Bamboo Training and Research Institute, CID, FATF, Centre, FIFA, PSU, UPSC, CSK, KKR, CBSE, Bangalore News, Express Group, The Indian Express, The Financial Express, MyInsuranceClub, DNPA, The Indian Express [,","Bangla, Hindi, India, US, Syria, J&K, TN, Puducherry, Canada, St. Petersburg, Florida, Motera, Maharashtra, Mumbai, Pune, Pak, Bombay, Rajasthan, Kerala, Sattur, Tamil Nadu, Arunachal Pradesh, Manipur, Bangalore, Delhi, West Bengal, Loksatta,",nan,2021-02-26 21:05:39.751644,"terror, terror financing, ",No,https://indianexpress.com/section/sports/wwe-wrestling/
"Reuters, Facebook, Instagram, The Telegraph, The Telegraph India, ABP Group,","India, West Bengal, Calcutta, Myanmar, Yangon, Naypyitaw, US, Britain,",nan,2021-02-26 21:16:39.012880,"terror, ",No,https://www.telegraphindia.com/world/gangs-firing-catapults-and-throwing-stones-in-myanmar/cid/1807855
"DGMO, Parliament, the Rajya Sabha, The Telegraph, The Telegraph India, ABP Group,","India, West Bengal, Calcutta, Pakistan, Srinagar, New Delhi, China, Ladakh, Pulwama, Jammu and Kashmirâs,",nan,2021-02-26 21:17:00.917781,"terror, ",No,https://www.telegraphindia.com/india/india-pakistan-consensus-on-ceasefire-agreement/cid/1807830
"Quetta Gladiators Dream11, ICC, RBI, SSC, YouTube, Moscow Pact, Madras High Court, SBI, Flipkart, Govt, BMW, Bharat Biotech, NASA, Twitter, Facebook, Raw Mango's, Punjab National Bank, PNB, London Court, Centre, Zee News, Hindi News, Diligent Media Corporation Ltd.,","Karnataka, India, Tamil Nadu, Odisha, Malkangiri, Delhi, Jalgaon, Mumbai, Maharashtra, Ethiopia, Tigray, Brazil, US, Sri Lanka, Nepal, Uttar Pradesh, London, UK, punjab, Bengali,",nan,2021-02-26 21:19:04.708726,"money launder, ",No,https://www.dnaindia.com/india/report-mumbai-s-arthur-road-jail-prepared-to-lodge-fugitive-diamond-merchant-nirav-modi-details-here-2877864
"Quetta Gladiators Dream11, ICC, RBI, SSC, YouTube, Moscow Pact, Madras High Court, SBI, Flipkart, Govt, BMW, Bharat Biotech, NASA, Twitter, Facebook, Raw Mango's, ISI, OPEC, UNGA, the United Nations General Assembly, Zee News, Hindi News, Diligent Media Corporation Ltd.,","Karnataka, India, Tamil Nadu, Odisha, Malkangiri, Delhi, Jalgaon, Mumbai, Maharashtra, Ethiopia, Tigray, Brazil, US, Sri Lanka, Nepal, Uttar Pradesh, Japan, Pakistan, Bengali,",nan,2021-02-26 21:19:29.519383,"drug trafficking, terror, ",No,https://www.dnaindia.com/authors/palki-sharma-upadhyay
"Quetta Gladiators Dream11, ICC, RBI, SSC, YouTube, Moscow Pact, Madras High Court, SBI, Flipkart, Govt, BMW, Bharat Biotech, NASA, Twitter, Facebook, Raw Mango's, ISI, the Afghan Taliban, Indian Embassy, Inter-Services Intelligence, ISIS, Al-Qaeda, Guardian, CIA, Haqqani, Lashkar-e-Taiba, Jaish-e-Mohammad, Zee News, Hindi News, Diligent Media Corporation Ltd.,","Karnataka, India, Tamil Nadu, Odisha, Malkangiri, Delhi, Jalgaon, Mumbai, Maharashtra, Ethiopia, Tigray, Brazil, US, Sri Lanka, Nepal, Uttar Pradesh, Pakistan, Britain, Canada, Sweden, Netherlands, Balochistan, Pathankot, Pulwama-, Kabul, Afghanistan, Iran, Kandahar, Karachi, Quetta, London, Iraq, Rawalpindi, the United Kingdom, Bengali,",nan,2021-02-26 21:21:56.013106,"terror, ",No,https://www.dnaindia.com/analysis/column-gravitas-plus-is-isi-the-death-squad-employed-by-pakistan-find-out-2864293
